ChEMBL_ID,SMILES,MolecularWeight,MaxClinicalPhase,csp3_quota,AlogP
CHEMBL1200412,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,406.57,4.0,0.63,5.67
CHEMBL5095492,C=CC(=O)Nc1cc(C#CC(C)(C)N2CCN(C)CC2)cc2ncnc(Nc3ccc(F)c(Cl)c3)c12,507.01,1.0,0.296,4.67
CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,261.09,4.0,1.0,1.88
CHEMBL545,CCO,46.07,4.0,1.0,0.0
CHEMBL61511,O=P1(N(CCCl)CCCl)NC(OO)CCO1,293.09,2.0,1.0,1.7
CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,250.3,4.0,0.385,0.45
CHEMBL254219,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,764.95,4.0,0.927,3.25
CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,312.41,4.0,0.75,1.29
CHEMBL2304041,C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3sc(C)nc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O,543.73,2.0,0.633,5.46
CHEMBL1201049,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,444.7,4.0,0.167,5.8
CHEMBL3989702,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O,305.23,3.0,0.444,-0.05
CHEMBL129857,COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12,366.4,1.0,0.111,3.01
