"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2110573";"INDIUM OXYQUINOLINE";"";"Small molecule";"4.0";"547.28";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"547.0387";"None";"None";"C27H18InN3O3";"";""
"CHEMBL1200460";"FERRIC AMMONIUM CITRATE";"AMMONIUM FERRIC CITRATE|E 381|E-381|FERRIC AMMONIUM CITRATE|FERRIC AMMONIUM CITRATE, BROWN|FERRIC AMMONIUM CITRATE, GREEN|FERRIC AMMONIUM CITRATE,GREEN|Ferric ammonium citrate|Ferriseltz|INS NO.381|INS-381";"Small molecule";"4.0";"261.98";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"261.9650";"None";"None";"C6H8FeNO7";"";""
"CHEMBL1908843";"GADOFOSVESET";"D-GULONIC ACID|GADOFOSVESET|GULONIC ACID, D-|MS-325";"Small molecule";"4.0";"894.95";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"895.1785";"None";"None";"C33H44GdN3O14P+3";"";""
"CHEMBL1200797";"TECHNETIUM TC 99M SUCCIMER";"99MTC-DMSA|DMSA Kidney Reagent|MPI DMSA KIDNEY REAGENT|NEPHROSCAN|TC-99M DMSA|TECHNETIUM (99MTC) DIMERCAPTOSUCCINIC ACID FOR INJECTION|TECHNETIUM (99MTC) SUCCIMER|TECHNETIUM TC 99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER|TECHNETIUM TC-99M SUCCIMER KIT|TECHNETIUM-99 DIMERCAPTOSUCCINATE|TECHNETIUM-99-DMSA|Technetium (99Mtc) Succimer";"Small molecule";"4.0";"281.13";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"278.8771";"None";"None";"C4H6O4S2Tc";"";""
"CHEMBL2110566";"TECHNETIUM TETROFOSMIN";"";"Small molecule";"4.0";"480.46";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"479.1465";"None";"None";"C18H40O4P2Tc";"";""
"CHEMBL1200412";"NANDROLONE PHENPROPIONATE";"Durabolin|NANDROLONE PHENPROPIONATE|NANDROLONE PHENYLPROPIONATE|NORANDROSTENOLONE PHENYLPROPIONATE|NORTESTOSTERONE FURANPROPIONATE|NORTESTOSTERONE PHENYLPROPIONATE";"Small molecule";"4.0";"406.57";"2";"9";"5.67";"43.37";"3";"0";"1";"4";"N";"0.60";"None";"None";"5.79";"5.79";"1";"MOL";"0";"30";"3";"0";"1";"406.2508";"1.68";"NEUTRAL";"C27H34O3";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1";"UBWXUGDQUBIEIZ-QNTYDACNSA-N"
"CHEMBL4802145";"DOTMP SM-153";"153SM-DOTMP|CYCLOSAM|DOTMP SM-153|SAMARIUM-153 DOTMP|SM-153-DOTMP";"Small molecule";"1.0";"698.20";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"696.9930";"None";"None";"C12H29N4O12P4Sm";"";""
"CHEMBL2068408";"SILICATE";"Silicate";"Small molecule";"4.0";"78.10";"5";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"77.9773";"None";"None";"H2O3Si";"O=[Si](O)O";"IJKVHSBPTUYDLN-UHFFFAOYSA-N"
"CHEMBL5095492";"MP-412";"";"Small molecule";"1.0";"507.01";"";"";"4.67";"73.39";"6";"2";"1";"5";"N";"0.39";"12.96";"7.69";"5.16";"4.69";"3";"MOL";"0";"36";"7";"2";"1";"506.1997";"-1.35";"NEUTRAL";"C27H28ClFN6O";"C=CC(=O)Nc1cc(C#CC(C)(C)N2CCN(C)CC2)cc2ncnc(Nc3ccc(F)c(Cl)c3)c12";"JZDDKMMYGMSSFH-UHFFFAOYSA-N"
"CHEMBL2096634";"SODIUM CHROMATE CR 51";"51CR|Chromitope Sodium|Rachromate|SODIUM CHROMATE (51 CR)|SODIUM CHROMATE (51CR)|SODIUM CHROMATE (51CR) INJECTION|SODIUM CHROMATE CR 51|SODIUM CHROMATE CR-51|SODIUM CHROMATE CR51|SODIUM CHROMATE, CR-51|SODIUM CHROMATE,CR-51|SODIUM RADIOCHROMATE";"Small molecule";"4.0";"160.92";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"161.8997";"None";"None";"CrNa2O4";"";""
